Operation,Energy,Time,Power
replace,3.7544459999999997,1995875,1.881102774472349
replace,4.1709747,1831042,2.277924100047951
replace,4.19197345,2125666,1.972075316630176
replace,4.32416495,2068125,2.0908624720459352
replace,4.3548456,2338875,1.8619402918069583
replace,4.4097859999999995,1773792,2.486078412801501
replace,4.442826850000001,2188708,2.0298855991754046
replace,4.4429564,2323125,1.9124913209577619
replace,4.448577149999999,2379333,1.8696740431036762
replace,4.535238250000001,2285458,1.9843892340178646
replace,4.5513758499999994,2055959,2.2137483529584
replace,4.586437450000001,1905875,2.406473378369516
replace,4.590459699999999,2042791,2.247150932229484
replace,4.59655355,1837959,2.500901026627907
replace,4.60957165,1852333,2.488522123181955
replace,4.647627750000001,1917041,2.424375769740971
replace,4.6893071,1867042,2.5116237877883836
replace,4.695565600000001,2111875,2.2234107605800535
replace,4.696043550000001,1969542,2.384332778889712
replace,4.7371967,1994125,2.3755766062809505
replace,4.741344950000001,1807125,2.623695068133085
replace,4.75256675,1821042,2.6098062263253676
replace,4.757064049999999,1869208,2.5449623851385184
replace,4.762091600000001,1860459,2.5596326497923365
replace,4.7835510999999995,1860625,2.5709377762848504
replace,4.786207,1903166,2.5148657552730556
replace,4.787611999999999,1908875,2.5080804138563284
replace,4.79477015,2186458,2.1929395167892545
replace,4.7998439,2541375,1.8886799075303724
replace,4.8023412500000004,1864500,2.5756724322874764
replace,4.80848655,1833667,2.62233358074285
replace,4.8094809000000005,1879000,2.5595960085151677
replace,4.8413527,1863583,2.5978733976431423
replace,4.848630200000001,2287500,2.1196197595628417
replace,4.86714615,1876458,2.593794345516926
replace,4.8677034,1912917,2.5446495587628735
replace,4.868990525000002,2036958,2.3903244568616544
replace,4.872689450000001,1872583,2.6021220154193436
replace,4.8756135,2390875,2.0392590578763006
replace,4.8864654000000005,2127791,2.2964968833875132
replace,4.905711450000001,1857208,2.6414442808775327
replace,4.9094692,1885125,2.604320244015649
replace,4.9132267,1866459,2.632378584260356
replace,4.9143966500000005,1884959,2.6071636836663292
replace,4.918440100000001,1856333,2.649546229044035
replace,4.9198031,1830209,2.6881099918096787
replace,4.92566225,1850291,2.662101393780762
replace,4.929625550000001,2305958,2.1377776828545882
replace,4.931427600000001,2307750,2.136898537536562
replace,4.9484325,2358208,2.0983867835237606
replace,4.9513632,2091500,2.367374229022233
replace,4.955644350000001,2171417,2.282216796681614
replace,4.97333505,2129667,2.3352641751034318
replace,5.0278934,1971000,2.550935261288686
replace,5.02824145,2143500,2.3458089339864707
replace,5.053916100000001,1717208,2.9431007193071554
replace,5.059061,1970958,2.5668030470461574
replace,5.060272400000001,1897542,2.666751197074953
